,Year of manufacture,Kilometer,Previous owners,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
0,2000,99800,3,251,1781,4,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,14785
1,1979,82000,6,127,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,21321
2,1990,201000,3,147,2849,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,23061
3,1981,60000,3,205,2906,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,126183
4,1966,161000,5,150,2496,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,46122
5,2003,110600,2,396,4196,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,21705
6,2018,1247,2,603,5935,12,2,Right (RHD),Manual,7,Rear,Disc,Disc,Petrol,174002
7,1971,5000,2,18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,10443
8,1971,41882,4,98,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,21669
9,1959,43000,2,200,4200,6,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,104341
10,2005,119019,3,456,6750,8,4,Right (RHD),Automatic,4,Rear,Disc,Disc,Petrol,34895
11,2008,62850,1,530,3600,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,145328
12,2016,14000,1,241,1742,4,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,83542
13,2013,124500,2,350,3436,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,60829
14,1956,22767,2,193,3417,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,73012
15,1997,48556,2,485,5473,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,126140
16,1947,96178,1,91,3700,6,2,Left (LHD),Manual,3,Rear,Drum,Drum,Petrol,28282
17,1980,189078,2,218,3430,6,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,28282
18,1982,144472,2,300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,119657
19,2006,73600,1,355,3824,6,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,63527
20,2021,1275,1,730,3982,8,2,Left (LHD),Semi-Automatic,7,Rear,Disc,Disc,Petrol,408138
21,2008,30900,2,612,5980,12,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,172306
22,1964,8000,1,75,1582,4,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,90504
23,2002,129188,2,343,3246,6,2,Left (LHD),Semi-Automatic,6,Rear,Disc,Disc,Petrol,43507
24,2007,18000,1,230,1998,4,2,Left (LHD),Manual,6,Front,Disc,Disc,Petrol,25672
25,2009,19000,1,230,1998,4,2,Left (LHD),Manual,6,Front,Disc,Disc,Petrol,47863
26,2011,49949,1,435,4663,8,4,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,51048
27,2022,3300,1,830,6496,12,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,435028
28,2002,83300,2,354,5439,8,5,Left (LHD),Automatic,5,4WD,Disc,Disc,Petrol,57000
29,2014,72099,1,350,3436,6,2,Right (RHD),Automatic,7,Rear,Disc,Disc,Petrol,54995
30,1963,77473,6,69,1150,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,23061
31,1990,18749,1,390,4943,12,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,139995
32,2005,49600,1,612,5980,12,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,85857
33,1967,322000,4,101,1778,4,5,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,12183
34,1985,192000,2,204,3839,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,16099
35,2004,102369,1,343,3246,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,36985
36,2002,132000,2,343,3246,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,37855
37,1968,73578,3,255,4014,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,117481
38,1957,15,3,106,2,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,83542
39,1960,71788,2,60,948,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,21321
40,2011,82763,1,440,4691,8,4,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,65093
41,2017,27751,1,560,5935,12,4,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,112956
42,2006,80052,4,528,5935,12,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,126009
43,2022,17500,1,600,3996,8,5,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,121789
44,1965,98308,4,245,3692,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,171870
45,2009,12800,2,345,3614,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,65267
46,1990,218500,2,205,2972,8,4,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,17200
47,2008,38000,2,620,5999,12,2,Left (LHD),Semi-Automatic,6,Rear,Disc,Disc,Petrol,143588
48,2018,10700,2,700,3800,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,339390
49,1990,81300,1,250,3,6,2,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,68748
50,1965,72597,6,300,3967,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,256718
51,1999,73971,2,400,4941,8,4,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,52127
